case_number,species,nez_taille_oeil,nez_longueur_museau,nez_largeur_museau,nez_epaisseur,gueule_taille_dent,gueule_ecart_machoire,aileronHaut_longueur,aileronHaut_largeur,tronc_longueur,tronc_epaisseur,tronc_largeur,aileronBas_longueur,aileronBas_largeur,queue_taille_aileron,queue_longueur,aileronArriere_longueur,aileronArriere_largeur,bas_longueur,bas_epaisseur,bas_largeur
1996.08.11,hammerhead shark,2.9,8.31,8.36,7.94,4.96,40.12,14.81,7.6,2.45,1.01,9.59,15.38,8.38,12.5,23.16,5.63,3.69,4.0,3.0,2.55
1996.07.23.b,white shark,7.35,9.89,12.51,7.75,3.93,65.07,15.41,8.39,6.9,7.3,4.21,13.57,4.93,16.68,18.27,4.81,2.88,5.83,5.12,6.31
1996.07.23.a,oceanic whitetip shark,5.51,8.31,11.04,8.7,4.7,54.45,11.02,6.73,7.17,1.71,7.05,11.46,7.68,15.11,10.11,4.43,1.29,4.16,3.12,6.15
1996.06.06,white shark,9.16,13.03,4.45,2.54,1.69,58.78,9.84,4.81,5.08,4.6,2.63,19.55,8.42,14.35,15.23,2.0,2.23,7.03,5.57,4.98
1996.05.28,white shark,1.8,12.85,2.18,9.24,3.62,49.22,6.5,2.28,3.88,2.49,6.65,15.23,7.43,16.38,14.73,4.05,3.07,8.81,1.4,3.75
1996.05.07,spinner shark,1.78,7.33,7.1,1.45,4.59,65.77,10.46,9.46,7.86,6.02,2.77,18.1,9.47,17.2,21.91,5.52,1.56,2.06,3.94,2.14
1996.04.25.b,wobbegong shark,7.55,7.43,11.09,8.23,1.62,71.69,8.58,9.06,9.9,1.21,5.6,5.38,3.79,14.45,22.95,1.94,2.91,8.51,5.82,6.94
1996.04.25.a,wobbegong shark,2.8,10.58,14.16,13.53,2.58,69.66,18.58,9.19,2.15,7.6,3.04,17.02,3.94,7.05,11.65,2.28,3.54,4.77,1.84,3.18
1996.03.05,tiger shark,5.95,13.4,7.5,8.97,3.55,56.89,14.7,8.19,3.13,1.75,6.08,13.87,9.67,5.88,13.68,1.66,3.88,3.48,2.13,4.78
1996.02.26,bronze whaler shark,1.92,12.52,8.8,6.92,3.03,95.99,5.65,7.2,9.65,5.16,2.73,17.54,6.22,11.28,21.61,2.02,2.98,8.89,1.23,5.25
1996.02.19.R,nurse shark,5.98,9.96,14.6,7.54,3.58,44.61,8.94,7.71,7.2,3.07,8.91,8.68,5.72,9.97,23.8,1.61,1.57,5.96,1.09,3.55
1996.02.04,reef shark,6.35,9.98,13.14,10.54,4.79,94.98,6.49,4.08,5.1,2.63,8.77,14.64,6.69,16.49,22.35,3.07,1.37,4.07,5.2,5.17
1996.01.23,nurse shark,1.15,5.73,14.07,12.49,3.94,78.86,8.37,8.38,8.58,4.25,7.88,7.39,2.13,15.32,22.81,2.23,2.45,4.53,5.03,4.02
1996.01.22,bronze whaler shark,1.45,11.61,13.07,5.28,1.83,43.34,9.48,6.97,4.24,7.85,4.39,12.03,5.6,6.19,22.35,1.61,1.72,9.37,1.95,3.74
1996.01.16,tiger shark,7.13,6.53,8.28,12.51,2.11,57.87,11.23,6.81,3.21,7.96,2.67,14.86,8.19,8.21,6.26,3.24,3.78,2.22,5.81,5.2
1996.01.12,mako shark,3.74,14.79,14.95,1.01,4.89,55.54,6.6,8.92,6.83,4.48,6.29,19.96,2.33,10.42,5.5,4.11,1.6,2.65,5.41,2.91
1996.01.10,tiger shark,7.84,8.02,6.42,6.07,3.42,61.09,13.45,7.13,3.23,3.58,9.96,10.92,4.05,5.86,17.55,4.86,1.56,2.8,4.01,2.65
1996.00.00.b,tiger shark,4.04,8.02,12.3,12.22,2.0,29.59,5.55,8.19,4.49,7.64,6.86,11.9,2.66,9.72,9.37,2.46,3.7,7.93,3.9,4.64
1996.00.00.a,tiger shark,8.94,9.78,11.47,6.1,4.7,77.88,11.95,4.82,9.23,1.77,8.67,16.72,2.17,7.85,21.55,5.38,1.31,7.75,1.98,4.23
1995.11.29,white shark,9.26,13.99,4.74,2.48,2.64,89.59,9.74,9.2,4.39,5.69,3.28,16.9,3.53,13.49,16.44,5.22,2.05,7.6,4.91,7.17
1995.09.28,white shark,6.31,10.55,14.12,3.98,1.97,80.36,17.45,7.18,7.05,6.69,8.58,7.05,5.94,14.65,26.11,2.49,2.73,3.44,2.5,2.87
1995.09.13,bull shark,6.62,11.49,6.3,2.22,4.21,34.27,7.65,8.98,2.44,7.51,7.47,19.44,4.12,7.96,11.49,4.11,3.91,8.29,2.43,2.85
1995.09.11,white shark,7.48,6.3,13.34,10.25,1.79,88.71,12.14,7.76,2.49,6.71,6.98,5.62,2.22,8.47,5.48,5.51,3.97,5.19,5.12,5.72
1995.09.03.b,white shark,2.9,14.38,6.25,5.14,1.55,98.29,17.62,9.47,8.18,7.21,9.88,6.96,6.47,10.61,26.31,5.03,1.38,9.8,4.61,6.6
1995.08.22.c,sand shark,1.29,13.02,7.52,8.47,3.19,30.26,10.29,5.53,9.08,1.56,6.26,16.69,10.0,11.65,8.52,4.98,3.19,3.48,3.54,6.57
1995.08.10.a,blacktip shark,3.55,9.21,4.78,9.13,3.8,81.42,19.25,7.25,6.22,2.31,8.76,6.26,3.82,14.86,21.42,1.84,2.73,4.48,2.16,5.74
1995.07.03,blacktip shark,9.49,9.88,8.5,8.59,3.89,96.35,10.99,5.1,5.22,6.72,7.12,13.5,9.95,16.78,15.87,4.81,2.92,3.05,4.92,2.22
1995.06.30,white shark,3.82,10.38,5.78,1.82,4.59,67.45,6.96,5.22,2.21,1.93,3.5,10.55,8.83,8.13,8.09,2.22,1.56,4.58,1.95,4.67
1995.06.24,white shark,1.68,10.89,6.13,8.3,4.66,98.33,15.36,6.83,7.16,3.88,5.51,18.71,2.6,15.77,21.1,4.96,2.95,9.78,3.96,4.99
1995.06.23,sand shark,5.07,10.1,2.99,11.16,4.52,83.28,16.12,7.04,9.07,6.5,5.3,11.3,5.94,19.41,27.23,2.76,3.06,2.22,2.58,3.88
1995.06.14,tiger shark,6.2,6.62,8.71,6.71,1.57,76.29,14.64,5.18,2.16,1.66,8.0,9.0,4.05,19.26,28.64,5.79,1.14,2.4,5.78,6.27
1995.06.13,tiger shark,2.71,7.69,8.25,7.68,4.98,54.8,17.42,8.03,7.73,3.89,8.55,15.75,8.0,18.69,14.19,1.52,1.29,8.7,4.05,6.35
1995.05.26,bull shark,9.89,6.88,2.43,6.04,1.98,81.7,6.54,2.34,6.29,2.14,3.12,8.09,7.33,9.38,29.19,1.26,3.33,5.37,5.05,5.78
1995.04.09.b,wobbegong shark,6.79,14.15,13.87,9.7,1.77,21.66,18.29,2.87,4.12,1.62,9.53,16.73,5.41,17.68,15.48,5.49,3.82,7.3,5.28,4.37
1995.04.09.a,white shark,7.37,10.21,9.72,5.15,1.94,64.98,19.57,2.52,8.16,3.31,2.45,8.88,6.35,11.9,22.26,1.92,4.0,8.87,6.0,4.05
1995.03.11,bronze whaler shark,5.15,5.94,13.13,9.71,1.4,90.75,19.86,2.83,7.57,4.13,9.32,17.54,5.24,9.33,11.96,5.04,2.91,3.34,4.69,2.78
1995.02.19,raggedtooth shark,4.27,13.16,7.55,6.26,1.97,26.08,12.07,9.15,6.89,3.68,4.48,17.49,8.1,6.14,17.51,2.18,1.35,9.52,3.66,4.42
1995.01.24,tiger shark,5.52,10.45,4.3,2.66,4.93,23.86,13.82,5.21,4.34,2.04,9.6,13.18,4.81,11.54,29.57,1.83,1.78,4.22,3.79,2.35
1995.00.00.d,leopard shark,8.48,6.91,3.87,10.38,2.09,44.62,7.49,4.98,5.57,1.86,6.17,5.51,6.51,5.57,29.64,5.7,3.74,3.29,3.76,5.6
1994.12.30,white shark,7.08,5.02,14.41,11.32,2.68,32.27,13.57,2.54,3.01,7.29,5.06,5.8,8.73,16.04,24.7,4.64,2.61,6.71,4.58,6.64
1994.12.09.a,white shark,6.68,9.44,12.32,3.7,2.84,59.74,15.99,7.97,8.37,7.74,9.0,14.45,8.47,16.22,22.82,4.82,3.89,9.27,5.08,6.34
1994.11.25.a,raggedtooth shark,5.0,8.49,13.25,8.15,2.97,48.62,10.57,5.41,9.28,4.84,6.88,14.49,6.22,15.37,9.98,2.19,1.29,2.71,5.35,4.67
1994.10.08,sand shark,8.4,10.23,3.56,7.15,2.72,81.23,7.58,5.09,7.43,2.69,3.94,14.17,8.38,5.92,6.24,5.16,3.21,5.25,1.53,2.09
1994.09.21,white shark,4.46,11.1,5.68,12.45,3.33,83.41,6.91,7.66,3.77,4.58,9.97,9.96,7.03,11.93,22.08,2.32,2.19,7.61,4.9,2.87
1994.07.09.c,bull shark,7.34,14.74,3.51,5.34,4.23,80.44,16.32,9.67,6.08,5.25,2.34,14.63,2.54,9.22,11.8,1.48,3.21,7.17,2.31,2.48
1994.07.09.b,white shark,7.56,9.35,13.67,14.42,2.35,74.51,15.51,4.93,2.64,1.71,4.93,13.15,9.9,18.49,20.03,4.4,2.16,7.39,2.11,4.66
1994.07.09.a,white shark,1.2,7.86,14.22,11.62,1.75,89.16,11.96,8.31,7.78,4.82,8.01,9.31,9.66,19.43,27.71,1.36,3.18,4.71,1.67,5.27
1994.05.31.a,spinner shark,5.74,6.77,14.78,14.18,4.27,32.82,5.59,2.63,8.54,4.06,2.44,17.24,6.61,5.27,5.66,4.92,1.44,4.9,1.99,7.92
1994.04.15,bull shark,2.62,7.02,2.58,10.79,1.36,25.73,14.95,5.82,8.46,1.31,3.22,7.93,5.83,11.47,7.61,2.19,1.28,2.04,5.65,6.93
1994.04.02,white shark,7.07,7.41,12.93,11.07,3.88,50.15,6.99,2.34,2.99,7.63,9.71,10.21,2.53,13.09,18.77,4.15,3.2,3.73,5.85,3.05
1994.03.23.b,white shark,6.66,8.07,2.38,10.33,1.54,46.03,10.55,8.22,2.61,1.64,7.38,19.48,7.55,12.91,14.12,4.4,1.59,3.76,3.39,2.83
1994.03.23.a,white shark,7.19,12.89,13.28,3.06,2.09,70.3,10.09,3.47,9.12,5.74,5.4,6.04,9.55,18.96,17.61,1.32,3.8,6.69,1.8,6.86
1994.03.07,lemon shark,5.13,10.18,5.42,10.76,2.55,93.6,14.12,4.55,6.33,7.55,6.6,18.93,4.36,16.57,27.41,5.3,1.26,3.95,2.21,4.45
1994.02.12,white shark,5.14,9.38,5.16,5.2,1.45,94.96,10.83,3.41,6.32,1.55,6.59,7.13,2.84,19.3,8.57,1.67,1.9,9.06,4.83,2.87
1994.01.31.a,tiger shark,1.07,10.06,12.1,3.05,4.73,58.29,12.19,7.48,9.83,4.75,7.99,11.89,2.67,16.19,6.06,4.83,1.41,4.88,2.41,3.32
1994.01.12.R,white shark,1.18,7.68,10.08,11.89,3.42,82.41,9.24,6.53,7.45,1.15,9.11,12.21,4.74,7.0,16.73,4.87,1.24,9.95,3.06,3.75
1994.00.00.b,tiger shark,1.63,10.53,10.38,12.89,4.27,39.81,15.04,6.4,9.32,5.64,8.45,17.25,5.44,17.65,5.95,3.02,1.96,8.17,3.22,4.2
1994.00.00.a,blacktip shark,7.16,14.78,11.35,5.19,4.22,90.22,12.98,9.67,3.47,5.35,2.47,13.84,5.98,16.41,23.67,2.51,2.11,3.26,4.28,6.36
1993.12.00,tiger shark,1.22,8.66,2.4,1.96,2.73,69.98,17.66,8.79,8.71,3.43,4.62,9.69,2.67,6.29,7.63,5.45,3.24,7.89,4.26,5.15
1993.11.21,tiger shark,8.5,10.13,12.95,2.58,4.9,24.78,11.39,6.22,2.23,1.85,4.8,17.88,9.52,6.76,10.59,4.04,3.59,2.65,3.11,6.61
1993.10.30,white shark,1.96,7.25,5.48,4.68,3.64,69.85,8.32,8.62,8.75,5.88,2.3,10.69,9.51,13.39,18.18,1.31,3.21,7.23,4.38,7.5
1993.10.26,bull shark,2.42,12.03,2.27,8.52,4.74,43.76,16.98,7.5,8.95,3.27,7.87,5.3,4.02,17.48,28.09,5.38,3.79,2.69,5.77,4.66
1993.10.10,white shark,3.41,9.26,4.66,12.07,4.33,60.14,11.55,7.58,4.39,4.56,6.45,19.16,3.36,14.99,11.49,4.01,1.53,6.27,5.61,4.36
1993.10.00,tiger shark,1.24,10.36,11.15,10.2,4.55,37.43,14.66,3.28,7.9,7.79,2.37,17.61,6.86,15.52,25.35,2.98,2.17,2.35,3.18,6.87
1993.09.26,white shark,8.64,13.05,14.06,11.9,4.06,81.76,6.38,3.69,6.58,4.45,6.52,13.53,2.09,10.51,13.4,5.58,1.53,6.92,5.76,5.7
1993.09.16.b,white shark,6.46,8.18,2.43,2.19,2.43,32.13,18.03,9.45,9.95,2.95,7.06,9.49,3.55,9.8,27.75,4.29,3.03,4.54,3.24,6.32
1993.08.21,caribbean reef shark,1.53,7.57,11.02,4.12,1.48,29.29,9.86,6.81,8.28,1.93,5.67,10.08,2.37,15.67,10.13,5.37,3.74,8.06,2.56,6.52
1993.08.15.b,white shark,2.96,10.86,14.32,9.76,1.38,92.42,19.5,9.68,2.31,1.59,8.42,6.11,7.33,16.08,12.28,2.58,2.93,9.89,3.15,4.73
1993.08.15.a,bull shark,3.96,9.36,2.13,12.32,4.18,22.14,18.31,5.72,8.08,4.62,9.93,11.46,6.23,19.69,21.92,2.24,2.83,6.33,3.49,5.03
1993.08.14,white shark,5.77,7.69,13.83,2.8,3.73,69.83,11.41,4.56,5.34,1.93,3.2,17.83,2.26,8.01,22.92,1.26,2.04,9.48,5.9,3.73
1993.08.12,white shark,8.91,8.8,6.71,12.54,2.83,86.82,8.72,4.28,5.26,6.57,8.74,9.43,5.14,16.29,9.54,3.89,1.63,8.07,1.4,4.84
1993.08.00.a,white shark,5.18,11.79,14.86,1.43,2.54,50.58,10.64,5.08,4.0,3.31,8.14,14.88,3.91,16.72,20.28,3.23,1.47,9.12,4.56,3.12
1993.07.30,white shark,9.04,9.45,10.46,6.89,1.77,26.44,19.05,9.92,6.84,6.94,5.56,13.14,7.0,11.74,15.75,4.64,1.17,6.74,1.45,6.56
1993.06.10,tiger shark,8.94,5.67,13.44,3.31,1.79,79.32,13.2,5.86,7.5,6.52,6.88,8.29,9.36,6.32,16.91,2.15,2.0,9.43,3.29,7.0
1993.06.09,white shark,2.44,13.79,7.11,10.09,2.14,35.68,15.55,9.33,4.02,1.37,5.09,16.38,8.66,10.55,24.08,2.98,1.86,3.01,2.65,7.59
1993.06.05,white shark,7.98,14.39,14.62,9.18,4.34,34.89,8.31,5.88,7.6,2.39,9.05,7.84,3.73,15.17,17.86,1.81,3.56,2.3,4.98,6.86
1993.03.17,white shark,7.26,13.77,9.48,6.47,2.58,52.73,10.84,7.56,7.9,3.5,8.63,18.79,9.76,13.18,16.94,1.8,1.83,7.5,1.52,5.64
1993.03.14,tiger shark,8.25,14.37,4.08,7.41,2.34,26.81,8.32,2.24,8.42,3.37,5.07,8.45,8.64,14.24,25.7,1.67,1.04,9.32,2.55,6.97
1993.03.12,white shark,8.46,10.63,10.98,5.03,2.01,29.7,18.1,9.82,2.3,5.35,6.34,13.09,9.01,14.78,15.48,3.29,3.66,5.42,5.44,7.29
1993.02.04,bronze whaler shark,9.39,10.16,13.94,2.87,1.53,81.42,6.68,7.14,2.39,2.93,5.25,19.91,8.19,8.49,21.07,5.33,3.77,6.09,1.6,5.34
1993.01.04,oceanic whitetip shark,2.86,13.19,9.81,14.65,2.3,78.46,19.22,6.81,8.22,6.66,3.92,17.27,4.86,13.18,5.6,2.22,3.55,2.3,2.74,4.15
1993.01.02,white shark,7.87,13.93,2.28,9.1,2.02,75.19,13.44,7.56,8.36,3.33,4.97,6.23,2.7,13.38,9.31,2.76,1.04,9.33,3.95,4.21
1993.00.00.d,white shark,5.38,11.88,8.44,1.68,3.04,61.36,8.26,8.37,4.92,3.56,3.64,7.95,8.2,15.28,22.18,2.14,2.97,3.67,3.8,2.62
1993.00.00.a,lemon shark,4.43,6.99,11.77,1.85,3.48,82.96,18.26,2.32,7.64,4.93,4.76,9.1,8.92,10.69,6.0,1.06,1.3,6.28,5.65,2.45
1992.12.28,tiger shark,6.42,9.63,11.31,6.91,4.89,77.93,18.58,7.64,7.75,1.85,6.99,7.97,4.11,18.19,28.03,5.47,3.39,4.24,4.18,5.44
1992.12.23,tiger shark,7.33,10.37,4.81,13.22,1.42,35.86,13.58,7.68,4.0,6.55,8.24,6.07,4.01,14.21,7.61,3.56,1.58,5.55,1.35,2.11
1992.11.29,mako shark,6.53,7.59,11.39,8.91,2.82,79.92,8.88,5.75,7.26,3.58,2.68,6.88,5.88,6.73,13.18,2.07,2.35,4.27,3.1,3.13
1992.11.25.a,blacktip shark,5.14,13.55,4.91,10.56,2.71,68.92,13.09,4.19,9.65,1.7,6.96,7.31,4.72,10.9,14.83,2.96,2.86,2.32,3.94,2.6
1992.11.14,white shark,7.97,14.25,2.65,10.99,3.05,58.35,14.61,5.26,6.21,3.78,8.89,16.37,2.16,5.73,20.97,3.26,2.54,9.29,4.18,3.54
1992.11.12.R,hammerhead shark,2.59,10.11,14.43,6.75,1.4,24.6,19.25,4.6,6.68,2.88,8.38,17.15,8.25,15.41,14.58,5.32,1.54,9.26,1.41,4.89
1992.11.05.a,tiger shark,1.06,13.86,10.61,7.12,2.21,68.45,8.36,4.62,6.85,6.72,8.08,5.29,8.53,14.28,13.22,3.26,1.46,6.13,1.03,4.87
1992.10.29,white shark,6.37,9.64,11.82,5.09,2.56,21.84,19.68,3.08,4.74,4.33,6.88,6.16,3.1,9.16,21.97,4.22,1.29,5.08,2.09,3.92
1992.10.22,tiger shark,2.7,11.19,2.16,6.04,2.37,87.41,7.61,6.12,9.59,3.13,6.2,13.63,5.94,14.29,23.08,4.82,1.89,4.74,5.76,3.96
1992.10.15,grey nurse shark,1.49,8.99,3.71,9.1,1.65,50.85,14.53,5.37,2.13,5.2,7.04,6.92,5.19,10.73,28.59,5.57,3.53,3.32,3.57,6.25
1992.10.01,white shark,4.07,8.0,2.2,14.21,2.79,68.76,15.67,6.03,3.96,7.85,9.35,6.12,8.97,9.67,10.23,1.29,2.63,8.02,2.14,6.19
1992.09.13,white shark,8.22,13.05,13.78,13.73,2.6,80.92,5.81,9.98,2.06,5.36,9.93,10.89,2.0,12.96,9.72,2.53,1.48,8.59,2.25,6.89
1992.08.29,blacktip shark,7.8,7.06,10.51,5.61,5.03,35.8,19.39,9.32,3.01,4.32,9.17,17.19,9.82,6.1,26.62,1.3,1.1,6.76,5.61,4.45
1992.08.25,white shark,7.96,6.57,5.86,11.24,3.86,94.9,16.15,8.93,8.53,6.44,2.95,6.47,6.54,19.89,18.67,5.12,1.48,9.71,4.6,7.42
1992.08.18,white shark,1.16,5.85,13.0,1.53,2.42,87.89,13.24,3.24,6.61,1.68,9.28,17.78,6.79,19.18,22.49,1.88,3.37,5.45,2.68,6.64
1992.08.17,nurse shark,4.77,6.39,14.82,3.38,2.5,88.82,10.39,8.92,3.85,6.99,7.93,18.17,9.94,16.79,20.09,2.06,2.15,3.8,5.56,5.52
1992.06.28.a,lemon shark,8.47,5.57,2.99,14.02,4.47,84.68,19.97,3.06,2.72,7.1,5.5,8.34,8.56,5.86,16.16,5.57,3.97,3.06,3.11,4.58
1992.06.17,white shark,3.46,11.39,9.79,11.35,3.79,59.75,16.03,8.34,8.44,1.62,7.57,14.13,7.56,15.25,24.81,1.09,1.38,3.43,5.92,7.22
1992.06.00,mako shark,9.44,8.96,10.61,11.63,4.41,44.21,9.0,4.03,9.32,2.27,5.29,9.28,5.34,18.14,5.59,2.14,1.88,3.04,1.27,3.79
1992.05.22,tiger shark,7.73,5.8,14.11,2.72,2.93,52.36,14.63,5.05,5.1,5.63,7.46,11.83,5.29,18.68,15.55,2.01,1.9,7.31,3.71,5.26
1992.04.24,white shark,9.47,8.7,7.94,5.78,1.3,71.43,12.38,3.32,4.3,1.62,7.62,19.9,6.47,6.63,21.85,1.4,1.83,5.8,2.21,3.32
1992.03.28,tiger shark,1.45,5.78,10.24,8.91,3.43,34.58,16.66,5.77,3.75,2.97,5.87,12.6,7.4,17.25,16.3,1.78,2.81,6.25,5.09,2.98
1992.03.10,bronze whaler shark,6.65,10.27,2.13,12.37,4.09,98.69,6.13,9.58,4.7,1.77,8.22,7.33,7.39,16.58,19.09,3.31,2.85,6.46,5.58,4.57
1992.03.08.c,white shark,9.97,6.34,3.5,12.5,3.45,76.21,11.33,8.34,9.4,1.3,4.52,6.38,8.33,14.67,6.14,2.06,3.59,4.55,3.55,3.56
1992.03.08.a,white shark,4.8,10.47,14.78,3.64,3.21,21.81,12.13,3.72,3.94,1.77,5.0,15.05,6.32,19.17,18.66,3.19,3.05,5.98,4.84,7.64
1992.02.19,tiger shark,7.17,14.71,3.37,1.4,2.22,71.59,19.92,3.84,2.04,5.11,7.9,16.82,5.34,12.32,13.2,5.68,1.61,8.39,1.39,3.14
1992.01.29.b,grey shark,3.25,5.8,12.73,1.76,2.88,80.31,14.17,8.03,3.26,1.84,2.64,9.61,7.14,15.15,10.94,5.63,2.43,5.47,3.53,7.12
1992.01.29.a,bronze whaler shark,7.5,8.95,7.98,4.45,2.34,76.57,7.99,5.08,2.58,7.16,4.72,11.42,9.86,11.46,14.32,3.12,2.32,4.39,2.21,7.19
1992.01.23,zambesi shark,8.46,12.1,6.49,1.42,3.56,64.0,8.24,2.75,3.0,3.03,7.18,14.19,5.81,9.93,9.21,1.19,2.54,7.16,1.81,7.11
1992.01.08,blacktip shark,6.49,5.74,10.4,1.28,5.09,37.53,7.04,9.21,7.08,6.99,5.51,17.21,9.71,6.99,29.52,2.54,1.81,6.47,4.75,5.97
1992.01.06,grey reef shark,4.28,13.48,7.97,4.54,4.79,98.3,5.12,2.12,3.03,1.68,9.47,11.99,7.08,14.73,12.15,2.34,1.56,4.94,2.65,2.74
1991.12.04,white shark,6.66,11.75,7.93,1.2,2.88,20.13,13.21,9.27,6.3,6.06,7.07,11.43,4.8,14.69,8.86,2.67,2.11,7.38,4.05,4.02
1991.11.26.b,tiger shark,8.03,11.62,12.43,2.97,3.3,59.59,19.94,2.51,5.5,3.45,5.58,10.7,6.6,8.22,27.73,5.77,1.31,2.41,2.85,4.5
1991.11.26.a,tiger shark,6.69,5.76,14.02,6.42,5.06,99.97,15.01,4.21,7.84,3.66,2.91,5.08,8.99,7.33,29.59,4.15,2.43,7.12,5.7,7.84
1991.11.19,tiger shark,5.8,10.51,7.2,7.82,4.04,98.67,19.38,5.76,5.33,5.89,2.84,10.1,7.1,12.13,12.21,4.14,3.31,6.12,5.75,6.8
1991.10.05,white shark,3.58,8.96,5.51,1.74,3.44,26.39,13.96,5.52,3.37,4.68,5.33,7.36,3.41,19.38,7.7,2.0,2.75,9.86,3.98,3.12
1991.09.08,white shark,3.95,9.61,14.82,12.41,3.44,97.63,7.74,4.28,8.95,5.74,3.16,12.1,4.22,14.87,16.9,4.1,2.5,7.74,3.06,4.63
1991.08.26,sand shark,2.6,11.68,2.82,1.33,2.14,29.2,14.29,4.26,7.21,2.71,4.58,14.72,5.87,15.24,6.52,2.66,1.39,9.23,3.33,4.15
1991.08.09,lemon shark,5.28,5.51,10.14,11.02,3.17,93.96,14.0,9.38,8.34,4.75,3.47,15.69,4.44,10.47,9.68,3.75,3.31,9.52,2.2,4.8
1991.07.30,white shark,4.74,13.22,4.75,11.3,5.07,85.09,17.6,3.1,9.95,2.93,8.46,15.66,9.45,18.33,23.21,4.94,2.4,5.58,4.65,2.72
1991.07.27,reef shark,4.15,6.31,3.33,3.12,4.03,95.4,8.98,6.11,8.1,7.82,4.92,15.46,3.49,8.45,20.36,5.93,1.22,4.59,1.5,2.7
1991.07.18,blacktip shark,2.18,13.84,10.16,5.7,3.35,52.41,15.79,9.68,4.04,4.53,6.62,11.44,3.85,9.49,28.43,5.43,2.22,9.38,1.09,4.9
1991.07.01.b,tiger shark,1.37,11.2,7.34,14.21,3.22,50.17,9.84,6.59,9.83,7.05,2.36,14.31,6.35,10.31,26.44,5.98,1.65,4.2,3.5,5.62
1991.07.01.a,white shark,8.29,12.25,2.51,14.48,3.49,98.62,11.98,2.51,6.47,7.91,4.99,13.29,7.51,7.76,20.86,4.96,1.42,6.89,1.77,2.29
1991.06.07.b,lemon shark,8.51,11.27,4.16,11.16,2.76,70.25,14.97,4.95,3.71,5.01,8.81,14.59,3.61,7.76,20.63,3.56,3.18,9.1,5.36,3.5
1991.06.07.a,tiger shark,8.45,14.25,10.97,12.72,2.8,92.69,14.37,7.0,5.21,5.58,6.74,14.79,2.93,14.19,17.17,3.9,1.6,7.26,3.21,3.35
1991.05.19,white shark,1.83,14.24,10.28,14.34,2.32,20.72,6.8,4.9,8.03,1.61,6.38,6.72,9.12,5.94,23.7,2.04,3.73,5.06,1.73,7.92
1991.03.03,grey nurse shark,6.13,14.46,8.59,7.41,4.69,63.15,13.74,9.01,6.61,3.37,6.03,6.09,7.14,18.92,16.51,3.82,1.88,4.68,2.47,6.07
1991.02.24,white shark,8.99,10.02,11.88,1.33,1.61,42.83,8.31,6.99,4.61,4.58,5.22,11.52,7.87,17.15,24.71,1.32,3.97,3.13,4.53,2.75
1991.02.12,white shark,3.76,5.45,11.97,7.8,4.13,46.93,15.59,2.84,4.43,6.31,4.15,16.17,6.89,9.76,26.31,2.2,3.43,3.66,1.57,3.59
1990.11.03,white shark,3.83,12.05,10.27,3.55,4.07,20.77,14.25,4.7,3.09,7.46,3.08,11.85,6.55,10.13,22.9,2.94,3.78,3.17,4.08,5.22
1990.10.20,spinner shark,4.98,12.67,11.93,14.66,4.3,92.31,17.43,5.68,9.3,6.05,3.02,11.12,7.89,16.69,21.72,5.81,2.71,2.84,1.55,2.58
1990.10.15,tiger shark,6.71,11.0,2.45,2.11,4.53,20.86,11.76,3.99,8.14,4.14,2.56,13.2,5.22,9.11,19.97,3.79,3.89,8.42,2.95,4.31
1990.09.15,white shark,1.22,7.53,4.53,3.74,2.3,76.06,6.55,8.06,8.89,1.59,7.88,7.32,7.15,8.8,14.78,3.63,2.69,6.01,1.34,2.43
1990.09.08,white shark,6.69,10.15,11.06,4.46,2.61,32.11,9.64,8.8,7.92,1.47,7.42,12.96,7.43,12.46,22.32,5.69,2.4,7.9,2.32,2.75
1990.09.05,white shark,9.85,12.42,10.17,4.87,3.71,81.43,14.65,8.6,8.22,3.04,3.17,13.25,8.09,10.92,25.62,3.31,3.9,8.72,4.07,6.95
1990.08.28,white shark,1.51,9.35,7.56,12.55,4.12,74.91,7.45,4.22,3.66,6.75,7.94,16.35,7.06,10.06,12.71,3.42,2.06,6.55,1.79,6.43
1990.06.24,white shark,1.1,8.44,8.97,7.81,1.97,53.79,12.57,6.7,6.87,6.52,5.91,7.64,6.21,17.16,15.55,2.85,1.44,8.07,4.54,7.38
1990.05.06,white shark,2.11,12.36,3.81,9.41,3.92,28.76,10.52,3.83,4.1,6.83,8.5,15.81,8.9,14.48,19.9,3.64,3.35,4.87,5.89,6.29
1990.04.14,white shark,9.39,13.52,9.25,14.77,4.95,99.99,19.78,5.28,2.79,2.68,3.96,5.9,8.57,12.14,14.59,1.97,1.92,4.78,5.48,2.49
1990.04.09,tiger shark,8.88,12.04,2.2,11.17,2.95,82.47,15.16,7.55,3.49,1.88,4.75,13.95,6.87,12.24,28.03,1.3,2.02,4.12,3.73,2.66
1990.03.05,bull shark,9.11,14.43,11.54,11.86,4.48,56.03,14.58,7.12,4.81,7.07,3.72,17.11,3.92,16.64,17.81,1.24,1.73,8.9,1.45,6.57
1990.01.12,white shark,4.55,6.24,14.12,7.72,4.8,87.68,16.45,4.38,8.98,6.18,7.91,16.21,6.34,6.07,9.96,1.33,2.21,3.38,2.07,5.43
1989.12.03,tiger shark,6.28,11.18,14.24,7.09,2.07,90.81,6.9,8.7,4.78,6.27,8.02,13.87,8.53,17.81,9.18,3.71,1.21,6.87,3.72,2.01
